[1, 1.069, -4.765, 0.596]
[2, 1.069, -4.765, 0.596]
[2, 1.068, -4.765, 0.596]
[2, 1.068, -4.766, 0.596]
[2, 1.068, -4.766, 0.597]
[3, 1.068, -4.766, 0.597]
[3, 1.068, -4.765, 0.597]
[3, 1.068, -4.765, 0.608]
[4, 1.068, -4.765, 0.608]
[4, 1.067, -4.765, 0.608]
[4, 1.067, -4.765, 0.599]
[5, 1.067, -4.765, 0.599]
[5, 1.069, -4.765, 0.599]
[5, 1.069, -4.764, 0.599]
[5, 1.069, -4.764, 0.591]
[6, 1.069, -4.764, 0.591]
[6, 1.068, -4.764, 0.591]
[6, 1.068, -4.765, 0.591]
[6, 1.068, -4.765, 0.582]
[7, 1.068, -4.765, 0.582]
[7, 1.077, -4.765, 0.582]
[7, 1.077, -4.762, 0.582]
[7, 1.077, -4.762, 0.613]
[8, 1.077, -4.762, 0.613]
[8, 1.064, -4.762, 0.613]
[8, 1.064, -4.762, 0.603]
[9, 1.064, -4.762, 0.603]
[9, 1.065, -4.762, 0.603]
[9, 1.065, -4.764, 0.603]
[9, 1.065, -4.764, 0.591]
[10, 1.065, -4.764, 0.591]
[10, 1.069, -4.764, 0.591]
[10, 1.069, -4.766, 0.591]
[10, 1.069, -4.766, 0.590]
[11, 1.069, -4.766, 0.590]
[11, 1.068, -4.766, 0.590]
[11, 1.068, -4.765, 0.590]
[11, 1.068, -4.765, 0.597]
[12, 1.068, -4.765, 0.597]
[12, 1.065, -4.765, 0.597]
[12, 1.065, -4.763, 0.597]
[13, 1.065, -4.763, 0.597]
[13, 1.067, -4.763, 0.597]
[13, 1.067, -4.763, 0.604]
[14, 1.067, -4.763, 0.604]
[14, 1.071, -4.763, 0.604]
[14, 1.071, -4.764, 0.604]
[14, 1.071, -4.764, 0.622]
[15, 1.071, -4.764, 0.622]
[15, 1.070, -4.764, 0.622]
[15, 1.070, -4.764, 0.586]
[16, 1.070, -4.764, 0.586]
[16, 1.068, -4.764, 0.586]
[16, 1.068, -4.763, 0.586]
[16, 1.068, -4.763, 0.602]
[17, 1.068, -4.763, 0.602]
[17, 1.069, -4.763, 0.602]
[17, 1.069, -4.762, 0.602]
[17, 1.069, -4.762, 0.616]
[18, 1.069, -4.762, 0.616]
[18, 1.070, -4.762, 0.616]
[18, 1.070, -4.764, 0.616]
[18, 1.070, -4.764, 0.590]
[19, 1.070, -4.764, 0.590]
[19, 1.071, -4.764, 0.590]
[19, 1.071, -4.762, 0.590]
[19, 1.071, -4.762, 0.608]
[20, 1.071, -4.762, 0.608]
[20, 1.072, -4.762, 0.608]
[20, 1.072, -4.765, 0.608]
[20, 1.072, -4.765, 0.592]
[21, 1.072, -4.765, 0.592]
[21, 1.068, -4.765, 0.592]
[21, 1.068, -4.764, 0.592]
[21, 1.068, -4.764, 0.607]
[22, 1.068, -4.764, 0.607]
[22, 1.067, -4.764, 0.607]
[22, 1.067, -4.763, 0.607]
[22, 1.067, -4.763, 0.604]
[23, 1.067, -4.763, 0.604]
[23, 1.069, -4.763, 0.604]
[23, 1.069, -4.766, 0.604]
[23, 1.069, -4.766, 0.597]
[24, 1.069, -4.766, 0.597]
[24, 1.068, -4.766, 0.597]
[24, 1.068, -4.765, 0.597]
[24, 1.068, -4.765, 0.608]
[25, 1.068, -4.765, 0.608]
[25, 1.069, -4.765, 0.608]
[25, 1.069, -4.762, 0.608]
[25, 1.069, -4.762, 0.611]
[30, 1.069, -4.762, 0.611]
[30, 1.066, -4.762, 0.611]
[30, 1.066, -4.763, 0.611]
[30, 1.066, -4.763, 0.591]
[31, 1.066, -4.763, 0.591]
[31, 1.067, -4.763, 0.591]
[31, 1.067, -4.764, 0.591]
[31, 1.067, -4.764, 0.588]
[32, 1.067, -4.764, 0.588]
[32, 1.067, -4.763, 0.588]
[32, 1.067, -4.763, 0.579]
[33, 1.067, -4.763, 0.579]
[33, 1.068, -4.763, 0.579]
[33, 1.068, -4.764, 0.579]
[33, 1.068, -4.764, 0.597]
[34, 1.068, -4.764, 0.597]
[34, 1.071, -4.764, 0.597]
[34, 1.071, -4.773, 0.597]
[34, 1.071, -4.773, 0.569]
[35, 1.071, -4.773, 0.569]
[35, 1.073, -4.773, 0.569]
[35, 1.073, -4.774, 0.569]
[35, 1.073, -4.774, 0.529]
[36, 1.073, -4.774, 0.529]
[36, 1.063, -4.774, 0.529]
